Fecha,BRL,CLP,COP,KRW,ZAR,INR,MXN,PEN,PLN,CZK,RUB,THB,TRY,HUF,ILS,DXY,ARS,CNY,IDR,MYR
02/04/23,5.0631,795.47,4653.96,1301.85,17.7713,82.1825,18.0298,3.7635,4.313,21.6621,77.7237,34.198,19.1803,350.42,3.5965,102.506,208.99,6.8737,14996.0,4.4152
03/04/23,5.0649,808.88,4597.9,1316.5,17.8492,82.3325,18.0627,3.769,4.2881,21.5266,78.3824,34.393,19.1963,346.51,3.5858,102.093,210.3557,6.8777,14971.0,4.418
04/04/23,5.073,808.53,4582.9,1315.8,17.9305,82.3325,18.1365,3.7661,4.2704,21.4198,79.3464,34.213,19.22,344.71,3.5865,101.586,210.7825,6.8793,14899.0,4.4043
05/04/23,5.0346,810.53,4571.03,1310.75,18.0419,82.0013,18.3075,3.768,4.2966,21.485,80.0623,33.873,19.2519,345.06,3.5884,101.852,211.226,6.8793,14932.0,4.3995
06/04/23,5.0599,809.83,4576.5,1319.15,18.239,81.8975,18.2467,3.768,4.2914,21.4213,81.1275,33.873,19.2591,344.26,3.6104,101.921,211.226,6.8793,14932.0,4.3995
07/04/23,5.0599,818.7,4570.8,1316.9,18.2418,81.8975,18.1472,3.768,4.2839,21.3973,81.3943,34.073,19.255,342.67,3.6011,102.025,211.226,6.8793,14932.0,4.3995
08/04/23,5.0599,818.7,4570.8,1316.9,18.2418,81.8975,18.1472,3.768,4.2839,21.3973,81.3943,34.073,19.255,342.67,3.6011,102.025,211.226,6.8793,14932.0,4.3995
09/04/23,5.0599,818.7,4570.8,1316.9,18.2307,81.8975,18.1251,3.768,4.2882,21.4341,81.3943,34.073,19.255,343.89,3.6011,102.025,211.226,6.8793,14932.0,4.3995
10/04/23,5.067,818.75,4557.9,1319.65,18.5123,81.985,18.1655,3.7682,4.3175,21.5258,81.8266,34.335,19.2665,345.6,3.63,102.578,212.9481,6.8847,14902.0,4.4095
11/04/23,5.0068,806.1,4505.61,1322.05,18.3962,82.1288,18.1803,3.7828,4.2768,21.4981,81.5249,34.23,19.2999,344.62,3.6591,102.204,213.7738,6.886,14886.0,4.4185
12/04/23,4.9191,803.63,4451.3,1325.65,18.4191,82.0887,18.0744,3.7677,4.2322,21.2562,82.2494,34.25,19.3152,340.59,3.6737,101.5,214.2375,6.873,14880.0,4.4093
13/04/23,4.9275,795.0,4411.67,1310.55,18.0472,81.855,18.013,3.7681,4.1953,21.0558,81.775,34.25,19.3338,338.29,3.6495,101.011,214.6642,6.8677,14746.0,4.401
14/04/23,4.9088,796.63,4406.5,1299.05,18.086,81.855,18.0161,3.7728,4.2209,21.2108,82.2751,34.25,19.364,339.82,3.6732,101.552,215.1052,6.8691,14705.0,4.4012
15/04/23,4.9088,796.63,4406.5,1299.05,18.086,81.855,18.0161,3.7728,4.2209,21.2108,82.2751,34.25,19.364,339.82,3.6732,101.552,215.1052,6.8691,14705.0,4.4012
16/04/23,4.9088,796.63,4406.5,1299.05,18.1077,81.855,17.9862,3.7728,4.2232,21.2053,82.2751,34.25,19.364,339.98,3.6732,101.552,215.1052,6.8691,14705.0,4.4012
17/04/23,4.9426,800.55,4433.17,1311.3,18.3177,81.9738,18.0204,3.7755,4.2398,21.4214,81.8975,34.36,19.3946,340.36,3.6508,102.103,216.3805,6.8799,14794.0,4.4225
18/04/23,4.986,795.48,4491.8,1318.65,18.1632,82.0412,18.0539,3.7709,4.2113,21.3637,81.7984,34.287,19.3994,338.39,3.6456,101.745,216.9042,6.8762,14843.0,4.4338
19/04/23,5.076,794.08,4534.7,1325.75,18.1983,82.2325,18.0479,3.7696,4.218,21.3877,81.7339,34.478,19.3988,345.88,3.6453,101.968,217.4758,6.8847,14982.0,4.441
20/04/23,5.0494,792.95,4529.6,1322.9,18.0342,82.155,18.0009,3.7569,4.1909,21.4252,81.5396,34.385,19.4048,342.86,3.6527,101.84,217.996,6.8742,14954.0,4.4373
21/04/23,5.0494,802.58,4510.3,1327.85,18.1078,82.0975,17.9883,3.762,4.1978,21.3985,81.5679,34.388,19.3997,342.2,3.6551,101.822,218.508,6.8915,14976.0,4.4373
22/04/23,5.0494,802.58,4510.3,1327.85,18.1078,82.0975,17.9883,3.762,4.1978,21.3985,81.5679,34.388,19.3997,342.2,3.6551,101.822,218.508,6.8915,14976.0,4.4373
23/04/23,5.0494,802.58,4510.3,1327.85,18.0978,82.0975,18.0036,3.762,4.1918,21.3941,81.5679,34.388,19.3997,342.17,3.6551,101.822,218.508,6.8915,14976.0,4.4373
24/04/23,5.0346,813.08,4460.68,1335.05,18.1344,81.9113,17.9826,3.759,4.1629,21.252,81.4403,34.395,19.3962,340.45,3.6537,101.348,220.2256,6.8958,14976.0,4.4373
